Speaker,Subject,Venue,Conference,Year,File
Stephen Kaung,The Work of God - Part 1,"Taipei, Taiwan",Christian Conference on Service,2014,SK_The+Work+_of_God_1.mp3
Stephen Kaung,The Work of God - Part 2,"Taipei, Taiwan",Christian Conference on Service,2014,SK_The_Work_of_God_2.mp3
Stephen Kaung,The Work of God - Part 3,"Taipei, Taiwan",Christian Conference on Service,2014,SK_The_Work_of_God_3.mp3
Dana Condon,Spiritual Travail - Part 1,"Harvey Cedars, NJ",Northeast Christian Conference,2009,2009-10-09_Spiritual_Travail_1_By_Dana_Condon.mp3
Dana Condon,Spiritual Travail - Part 2,"Harvey Cedars, NJ",Northeast Christian Conference,2009,2009-10-10_Spiritual_Travail_2_By_Dana_Condon.mp3
Christian Chen,Conformed to the Image of His Son - The School of Christ,"La Mirada, CA",West Coast Christian Conference,2007,21-20070726-CC.mp3
Christian Chen,Conformed to the Image of His Son - Transformed From Glory to Glory,"La Mirada, CA",West Coast Christian Conference,2007,22-20070727-CC.mp3
T. Austin Sparks,The Persistent Purpose Of God - Part 1,"Taipei, Taiwan",,1957,TAS_ThePersistentPurposeOfGod1.mp3
T. Austin Sparks,The Persistent Purpose Of God - Part 2,"Taipei, Taiwan",,1957,TAS_ThePersistentPurposeOfGod2.mp3
